Velocidad_Prom,Direccion_Prom,Calidad,Long,Lat
2.4195328382083465,144.01519199867178,6.220619144424229,-75.55897,6.21394
1.3176041343753568,180.32585024718145,3.261315894666432,-75.5627,6.2694
1.0853449340159576,222.0572737134334,7.598363200376803,-75.32722,6.43498
1.0306819266098337,142.99868538813263,48.025317160995506,-75.63112,6.27189
1.7598677521316315,142.81270737632667,82.90730322987524,-75.63536,6.09628
2.4839451024041423,147.25186604970793,1.165553775148795,-75.43522,6.4245
1.5815286947738794,159.50010989300822,1.1490676677187097,-75.60996,6.23018
2.0340309859184207,161.4463067682831,6.550824742589506,-75.57777,6.20898
3.8723905796438016,153.0543991641669,7.225114846270232,-75.369,6.16629
1.1277827809064311,188.49999592505358,6.8295775910546945,-75.58864,6.25922
1.0448699485317972,146.0090825595567,1.4119615347519971,-75.5743,6.24215
1.7727226681207675,171.7224710001157,2.400716194655254,-75.5778,6.26075
1.2166408902693766,175.0363733168219,1.9544478767631275,-75.5276,6.1935
1.8007389376120069,149.58428846703654,1.533524786213533,-75.6438,6.16793
1.728802248767594,115.08057084346602,2.0620954198325254,-75.49397,6.28328
2.0590729031649215,121.06810753760908,1.8234092095303953,-75.64162,6.15814
1.0882408952187181,151.68593760596812,16.84440827399119,-75.63624,6.21959
1.2693670845364362,161.51616684296292,1.8541732182166444,-75.5883,6.1699
1.5610178434191193,196.4240649228086,16.029339502805303,-75.41871,6.40661
1.3328618359725886,170.07086725383743,1.471241250346031,-75.55866,6.33711
1.707792327298921,205.83601016377602,1.00241528207645,-75.55064,6.18254
1.8013602049418926,103.9099456474305,1.0795981727101573,-75.62139,6.14564
1.575811032678582,136.46301075679625,1.508612776447856,-75.62749,6.15231
1.268921985079817,193.26795618853302,1.034921988922254,-75.58864,6.25922
